Autor	Partia	Data	Temat (krótki opis)	Treść
Andrzej Duda	PiS	10.04.2021	Katastrofa smoleńska	być tu żeby oddać hołd i uczcić pamięć Lech Kaczyński on małżonka Maria i wszyscy wielki Polak który 11 lato temu zginąć w katastrofa pod Smoleńsk pełnić swoje urząd wykonywać swoje zadanie państwowy lecieć tam z głęboki przekonanie że czynić to dla rzeczpospolita dla nasz ojczyzna dla pamięć o haniebnie pomordowany w Katyń przez sowiet polski oficer przecież pamiętać że to były człowiek z różny strona scena polityczny to były człowiek który na co dzienia dyskutować debatować nieraz bardzo żarliwie w polityczny spora ale w ten sprawa były jeden w ten sprawa były razem w ten sprawa udały się razem do Katyń przez Smoleńsk po to właśnie żeby pokazać także jedność my – jako społeczeństwo jako naród jedność nasz pamięć jedność rzecz ważny
Rafał Trzaskowski	PO	10.04.2021	Katastrofa smoleńska	dziś 11 rocznica katastrofa smoleński tragiczny wypadek w który zginąć 96 osoba ważny polityk w państwo cały załoga wszyscy pasażer wśród on nasi przyjaciel niech nic nie przesłonić my pamięć o on
Donald Tusk	PO	09.04.2021	Katastrofa smoleńska	mówić się o polityczny odpowiedzialność to ja dzisiaj powiedzieć wprost bo nie móc już słuchać to jątrzenie i bardzo niemoralny wykorzystywać katastrofa przez oskarżenie polityczny jeśli istnieć odpowiedzialność polityczny to też zostać naświetlić w czas badanie nie być to przyczyna katastrofa ale nie ulegać wątpliwość że pilot który popełnić błąd w czas próba lądowanie były poddany presja
Donald Tusk	PO	05.02.2021	Kompromis aborcyjny	osobiście uważać że wypowiedzenie to kompromis pozbawić treść to kompromis wszelki znaczenie bo on miał walor polityczny a nie moralny czy aksjologiczny i dlatego skoro on zostać unieważnić przez PiS i w duży miara także hierarchia kościelna skoro zdecydować się na konfrontacja to postawić właściwie Polak przed wybór bardziej przejrzysty i jasny odpowiedź na to wyzwanie i w ten sytuacja ja nie mama żaden wątpliwość że skoro to kompromis nie mój to trzeba dać zdecydowanie prawo kobieta do rozstrzygający głos
Donald Tusk	PO	2013	LGBT	nie być zdeklarowany zwolennik najbardziej progresywny projekt z różny wzgląd przed wszyscy z to tytuł że bardzo obawiać się także skutek społeczny i publiczny nie być sztuka rozpętać bój o dość radykalny projekt po to żeby ten bój w parlament przegrać ale co zły żeby przegrać pewien idea wychowanie do szacunek dla odmienność także wśród inny człowiek jeśli ktoś być przesadzać w ten kwestia to przynieść to odwrotny od zamierzyć skutek
Stanisław Żółtek	Kongres Nowej Prawicy	18 cze 2020	Debata wyborcza	aż mi strach zaproponować rząd że być budka od piwo że może menelowe plus by jeszcze wrzucić
Lech Wałęsa	Solidarność	1995r.	Debata wyborcza	ten pan wejść do studia jak do obora nawet się z ja nie przywitać ani be ani mój ani kukuryku
Donald Tusk	PO		Druga Irlandia	pyta pani co należeć zrobić żeby … żeby Polak nie wyjeżdżać żeby to minimum socjalna nie być tak upokarzający nie trzeba odkrywać Ameryka ja to powtarzać i polityk w Polska niestety rzadko to rozumieć ale na przykład tym który wyjechać do Anglia nie musza już to powtarzać bo to on ja właściwie mówić że wystarczyć w Polska zbudować gospodarka na taki zasada na jaki funkcjonować właśnie w wielki Brytania czy w Irlandia Polak podobnie jak inny nacja od kilkadziesiąt lato jeśli uciekać z jakiś kraj do inny to zawsze uciekać od socjalizm do liberalizm zawsze uciekać od spętać przepis gospodarka do swobodny gospodarka i dlatego ja znać recepta ja znać dobry odpowiedź na to pytanie zrobić Irlandia zrobić Anglia tutaj nad Wisła a nie wyrzucać nasi człowiek za granica
Czarnek	PIS	2020	LGBT	dla ja ideologia LGBT i gender to neomarksizm w czysta postać zdominować my człowiek lewica który maja niewiele wspólny z wolność
Janusz Korwin Mikke	Konfederacja		Bezrobocie	cztery milion człowiek stracić praca to były cztery milion czarnuch a teraz mama 20 milion bezrobotna Europejczyk który być czarnuch Europa tak 20 milion młoda człowiek być traktować jak czarnucha
Janusz Korwin Mikke	Konfederacja		Rolnicy	blokada jaki blokada za moja władza żaden nie utrzymać by się długo jak 5 minuta blokada by być rozwalić chłop poobijać mord a ciągnik spalić
Janusz Korwin Mikke	Konfederacja		Kobiety	chcieć by być odebrać prawo wyborczy wiele osoba nie tylko kobieta
Janusz Korwin Mikke	Konfederacja		Kobiety	przeciętna kobieta nie interesować się polityka chodzić o to by głosować tylko ci co się znać na polityka
Janusz Korwin Mikke	Konfederacja		Kobiety	kobieta nie móc być inteligentny dbać o to mechanizm ewolucja naturalny inteligentny istota nie wytrzymać by przebywać długo niż godzina dziennie z paplać dziecko dlatego właśnie i nie tylko dlatego mężczyzna nie lubić wiązać się z kobieta inteligentny instynktownie chcieć by on dziecko miał dobry opieka
Janusz Korwin Mikke	Konfederacja		O polakach	lud być głupi jak but z lewy stop większość człowiek podwyżka podatek przełknąć jak im w telewizja wytłumaczyć że powstać nowa droga szpital to człowiek to zrozumieć przeciętny widz telewizja być zupełnie odmóżdżyć w ogół nie myśl
Janusz Korwin Mikke	Konfederacja		Transseksualizm	gdyby p Krzysztof grodzki zmienić być płeć po cichy jak to być zrobić w Bangkok i nikt nic nie mówić startować do sejm i zostać wybrany nie być by problem problem nie w tym że on zmienić tylko w tym że grodzki o tym rozgłośnie informować i wejść do sejm jako dziwadło nie dlatego że znać się na polityka lecz dlatego że być dziwadło … w każdy raz na pewno być człowiek który zwymiotować by gdyby dotknąć on grodzki
Janusz Korwin Mikke	Konfederacja		Unia Europejska	sprzedać go i zrobić tam burdel budynek komisja europejski świetnie się do to nadawać
Janusz Korwin Mikke	Konfederacja		LGBT	Homoś to być rzecz normalna były przez cztery tysiąc lato być siebie – nikt nie przeszkadzać natomiast gej tfu to być banda cham importować z zagranica część z on w ogół nie być homosiami on tylko za pieniądz że tak powiedzieć udawać homosiów to być importować z zagranica człowiek często dostawać pieniądz na to żeby rozbijać społeczeństwo i imputować dziwaczny wartość
Rafał Trzaskowski	PO	2020	Trybunał/Aborcja	cyniczny pan uznać że zamiast tłumaczyć się z chaos w organizacja szczepienie zaniedbanie zakup odpowiednio liczba szczepionka brak panowanie nad sytuacja w służba zdrowie i dramatyczny sytuacja przedsiębiorca – wyprowadzić kobieta na ulica może udo się przykryć nieudolność rządząca nie drogi pan nie udo się już nie tylko kobieta wyprowadzać na ulica to cały naród mój dość skazywać kobieta na cierpienie i decyzja o publikacja pseudo orzeczenie przez pseudo trybunał wbrew większość Polek i Polak to już nie być cynizm polityczny to świadomy i wyrachowany działanie na szkoda państwo
Andrzej Duda	PIS	2015	Debata wyborcza	Pan zmieniać pogląd z piątek na poniedziałek Polak móc być spokojny bo być człowiek który słowo mój za świętość ja rozumieć zadanie prezydent że to właśnie społeczeństwo trzeba służyć mama nadzieja że wygrać bo Pan zaprzeczyć dziś piąć lato swój prezydentura
Bronisław Komorowski	PO	2015	Debata wyborcza	jeżeli chcieć państwo który ingerować w życie obywatel zastępować wolne sumienie głosować na Andrzej Duda jeżeli chcieć Polska w który szanować się pogląd i stawiać na kompromis polityczny to zagłosować na ja jeśli chcieć państwo który nie ufać obywatel i zwalczać opozycja oddać głos na moje konkurent
Andrzej Duda	PIS	2015	Debata wyborcza	nie wolno w żaden sposób społeczeństwo dzielić nie mój Polska radykalny nie mój Polska racjonalny wszyscy żyć pod jeden sztandar za który krew przelewać nasi ojciec nie być odpychać nikt
Bronisław Komorowski	PO	2015	Debata wyborcza	Pan poseł prosić wybaczyć jak słyszeć pan który mówić że trzeba Polska po 25 lato wolność odbudować z zgliszcze jak po wojna to coś się w ja burza burza się też serce ten który 25 lato ciężko pracować zbudować wiele w Polska
Szymon Hołownia	-	2013	Aborcja (Występ w TV)	mój stosunek do aborcja być bardzo prosty aborcja być zabójstwo w każdy przypadek pozbawienie życie człowiek i tu nie mama cień wątpliwość
Szymon Hołownia	-	2020	Aborcja (Wybory)	powiedzieć wprost w moi światopogląd aborcja nigdy nie być w porządek swoje pogląd na ten temat wygłaszać być dotąd jako osoba prywatny gdy być kandydat na urząd prezydent musza na wiele sprawa patrzeć szeroko bo przyjść mi podejmować decyzja w duch odpowiedzialność za milion obywatel również ten podzielać moje zdanie uważać że ostatni rzecz który Polska dziś potrzebować to kolejny wojna domowy tym razem o aborcja co do który nigdy w Polska zgoda nie być ani nigdy nie być
Rafał Trzaskowski	PO	29 maja 2018	LGBT	to być moja osobisty przekonania bardzo by być chcieć być pierwsza prezydent Warszawa który móc by udzielić ślub par homoseksualny
Szymon Hołownia	-	7 maja 2020	Wybory 2020	to pyrrusowy zwycięstwo Jarosław Gowina dlatego że teraz być trzymać w szach przez Kaczyński sejm uchwalić ten ustawa za chwila podpisać on być absolutny marionetka w ręka prezes Kaczyński Andrzej Duda wybory wciąż móc odbyć się 23 maj
Janusz Korwin Mikke	Konfederacja	26 października 2015	Demokracja	problem polegać na tym że w demokracja racja mój większość a głupi być dużo niż mądry więc każdy demokracja kończyć w katastrofa w korupcja w głupota
Kinga Duda	-		Ogólna	chcieć by być zaapelować by nikt w nasi kraj nie bać się wyjść z dom niezależnie od to jak mama kolor skóra koga popierać i koga kochać wszyscy być rówień wszyscy być rówień nikt nie zasługiwać na to by być obiekt nienawiść
Tomasz Grodzki	PO	26 kwietnia 2020	Koronawirus / Wybory	powiedzenie zabójczy koperta nie być całkowicie pozbawić sens
Jacek Żałek	PIS	12 czerwca 2020	LGBT	ja rozumieć że chodzić o ideologia ale co to być LGBT może mi pani powiedzieć to nie być człowiek to być ideologia
Donald Tusk	PO	28 października 2020	Koronawirus (Twitter)	Polska być źle przygotować państwo do jesienny fala epidemia w cały unia gdy inny szykować się na wojna z wirus wy na wojna z naród wycofać się z on zanim dojść do tragedia człowiek pozostać krzyk decyzja należeć do wy
Donald Tusk	PO	25 października 2020	Aborcja (Twitter)	nikt nie być w pełnia zadowolony z kompromis taka on natura on jedyna zaleta być to że chronić Polak przed aborcyjny wojna domowy zniszczyć go celowo i bezpowrotnie bo wojna domowy to on żywioł ale przegrać on już przegrać
Donald Tusk	PO	27 stycznia 2021	Aborcja (Twitter	im nie chodzić o ochrona życie to przecież pod on rząd coraz dużo Polak umierać i coraz mało się rodzić życie to polski kobieta obrona on prawy i godność przed cyniczny fanatyzm władza to nasze być albo nie być
Donald Tusk	PO	31 lipca 2020	Koronawirus (Twitter)	im bardziej bezradny i skorumpować władza tym groźny wirus skoro nie móc na on liczyć liczyć na własny ostrożność i odpowiedzialność nosić maska i trzymać dystans wszędzie tam gdzie trzeba to naprawdę mój znaczenie
Andrzej Duda	PIS	4 lipca 2020	Praca zdalna (Twitter)	możliwość praca zdalny na zasada jak w czas pandemia koronawirusa a więc prosta i odbiurokratyzować powinny być na stała w kodeks praca jako dopuszczalny za porozumienie pracownik i pracodawca równorzędny sposób świadczenie praca
Andrzej Duda	PIS	14 czerwca 2020	LGBT (Twitter)	wszyscy być rówień i każdy należeć się poszanowanie dla on godność to wartość konstytucyjny tak samo jak małżeństwo jako związek kobieta i mężczyzna oraz rodzina wraz prawo rodzic do wychowanie dziecko według własne przekonania
Robert Biedroń	Lewica	23 października 2020	Aborcja (Twitter)	Polka i Polak w cały Polska wyjść dziś na ulica protestować o swoje fundamentalny prawa policja używać gaz pieprzowy stosować nieuzasadniony agresja oraz szarpa człowiek a także uniemożliwiać wykonywać mandat poselski mama tylko jedno pytanie nie wstyd wy
Robert Biedroń	Lewica	24 października 2020	Aborcja (Twitter)	zerwać być kompromis który popierać twój tragicznie zmarły brat w środek pandemia wsadzić być kij w moralny mrowisko teraz kiedy powinien być wspierać się najbardziej rozpoczynać ideologiczny wojna wypowiedzieć być on Polek z on się nie wygrywać tylko co ty móc o tym wiedzieć
Katarzyna Lubnauer	Nowoczesna	26 marca 2018	Aborcja	"natomiast zdawać siebie sprawa że z medyczny punkt widzenie oczywiście mama do czynienie najpierw z zarodek potem płód mówić o "" terminacji ciąża "" to zawsze być dramatyczny wybory ja nie uważać że "" aborcja być Oka "" żeby nie być wątpliwość natomiast uważać że czas być sytuacja w który kobieta po prosty powinny mieć prawo być za prawo do terminacji ciąża do 12 tydzień po konsultacja z psycholog czyli w model niemiecki"
Szymon Hołownia	-	17 czerwca 2020	LGBT / Debata wyborcza	tak jak zapowiadać być podpisać ustawa o związek partnerski a zawetować o małżeństwo jednopłciowy i adopcja jeżeli ktoś próbować mi wmówić że LGBT czy ideologia LGBT zagrażać dziś polski rodzina to chyba żyć na inny planet
Andrzej Duda	PIS	17 czerwca 2020	Koronawrius / Debata	szczepionka kiedy już rzeczywiście zostać wynaleźć powinny najpierw zostać wnikliwie u my przebadać a następnie jeżeli zostać dopuścić powinny być dostępny powszechnie przed wszyscy dla senior i powinny być dla on dostępny nieodpłatnie natomiast kto być chcieć skorzystać z ten szczepionka i zaszczepić się ten to zrobić to znaczyć powinien być to dowolny tak jak być przy grypa
Władysław Kosiniak-Kamysz	PSL	17 czerwca 2020	Służba zdrowia / Debata	musieć zacząć od reforma ochrona zdrowie proponować pakt na rzecz zdrowie i proponować go wszyscy kandydat żeby być go wspólnie podpisać trzeba oddłużyć szpital dofinansować leczenie przywrócić przemysł farmaceutyczny w Polska podnieść wynagrodzenie wprowadzić premia dla bohater który od miesiąc walczyć z koronawirusem trzeba uprościć procedura i odbiurokratyzować ochrona zdrowie to nasze ważny zadanie
Zbigniew Ziobro	Solidarna Polska	25 listopada 2020	Budżet UE	w negocjacja z unia europejski nie można być za przeproszenie „ miękiszonem ” trzeba być twardy Polska premier mój dbać o interes Polska stać w perspektywa kolejny faza negocjacja i warto być konsekwentny warto brać przykład z inny państwo który uważać że propozycja komisja europejski uderzać w on interes i nie bać się wetować różny propozycja
Jarosław Kaczyński	PiS	11 maja 2019	Adopcja przez pary homoseksualne	żeby par homoseksualny nie móc eksperymentować z dziecko to_znaczy on adoptować żeby dziecko nie były przedmiot eksperyment który być w interes bardzo niewielki mniejszość ale nie być przed wszyscy w interes dziecko i nie być w interes przyszłość nasze naród a dziecko to przyszłość
Zbigniew Ziobro	Solidarna Polska	11 marca 2021	Adopcja przez pary homoseksualne	czynić zadość tym oczekiwanie konstytucja wprowadzać rozwiązanie z on zgodnie tak aby te sytuacja nie móc być wykorzystywać przez środowisko ideologiczny w kraj Europa zachodni który … chcieć zdemolować instytucja rodzina w Polska i narazić dziecko na rozmaity eksperyment który efekt w przyszłość być trudny dzisiaj do sprawdzić jeżeli chodzić o skutek dla psychika dziecko on rozwój i funkcjonowanie
Jarosław Gowin	Porozumienie	19 marca 2019	Adopcja przez pary homoseksualne	w wszyscy kraj w który zalegalizować tak zwać małżeństwo homoseksualny naturalny konsekwencja to być przyznanie tym par prawa do adopcja zarówno z prawny jak i z moralny punkt widzenie
Andrzej Duda	PiS	6 lipca 2020	Koronawirus szczepionka / Debata	natomiast jeżeli chodzić o szczepionka absolutnie nie być zwolennik jakikolwiek szczepienie obowiązkowy powiedzieć państwo otwarcie ja osobiście nigdy się nie zaszczepić być na grypa bo uważać że nie miał oczywiście różny szczepienie jako dziecko i późno jako dorastający chłopak ale na grypa się nigdy nie szczepić być i nie chcieć się szczepić i uważać że szczepienie na koronawirusa absolutnie nie powinny być obowiązkowy
Andrzej Duda	PiS	6 lipca 2020	Koronawirus sczepionka / Twitter	stop manipulacja uważać że ewentualny szczepienie przeciw koronawirusowi nie powinien być obowiązkowy tak jak nie być obowiązkowy szczepienie przeciw grypa co do inny choroba polio gruźlica szkarlatyna itp to zupełnie co inny inny rozmowa
Krzysztof Bosak	Konfederacja	16 czerwca 2020	LGBT	nie chcieć dać wy żaden przywilej ale równe prawa to wy mat jak wszyscy Polak jak się id do urząd i załatwiać różny rzecz nikt nie pyta z kima spać w łóżko i kto ci się podoba urzędnik nie mój to prawa obchodzić i nie tak się pisać ustawa to że lobby LGBT chcieć żeby on upodobanie były rozpoznać tak jak zwykły rodzina być absurd rodzina to mężczyzna i kobieta to definiować konstytucja poza tym mama równe prawa
Krzysztof Bosak	Konfederacja	6 stycznia 2020	LGBT	nigdy nie postulować być krytykować człowiek homoseksualny za on skłonność nasz krytyk odnosić się do aktywność homoseksualny i do ruch LGBT który star się zmienić moralność prawo kultura i język który mama o tym mówić z punkt widzenie chrześcijanin homoseksualny aktywność być coś destrukcyjny dla człowiek Ruch LGBT prowadzić do deprawacja społeczny i my mama moralny obowiązek sprzeciwić się temu dzięki temu sprzeciw wiele osoba nie zostać wciągnąć na zły życiowy droga
Przemysław Czarnek	PiS	czerwiec 2020	LGBT	bronić rodzina przed to rodzaj zepsucie deprawacja absolutnie niemoralny postępowanie bronić my przed ideologia LGBT i skończyć słuchać ten idiotyzm o jakiś prawo człowiek czy jakiś równość ci człowiek nie być rówień człowiek normalna i skończyć z ten dyskusja
Przemysław Czarnek	PiS	3 sierpnia 2020	LGBT	nie mój wątpliwość że cały ta ideologia LGBT wyrastać z neomarksizm a ten z marksizm pochodzić z to sam korzeń co niemiecki narodowy socjalizm hitlerowski który być odpowiedzialny za wszelki zło II wojna światowy zniszczenie Warszawa i zamordować powstaniec
Jarosław Kaczyński	PiS	12 maja 2019	Pedofilia w kościele	my nigdy to rodzaj zjawisko nigdy patologia w żaden dziedzina także i w sfera kościół nie tolerować być i nie być tolerować co dużo to my podjąć być walka z pedofilia wprowadzić być rejestr pedofil a kto się przeciwstawiać kto krzyczeć o wolność platforma obywatelski
Antoni Macierewicz	PiS	17 maja 2019	Pedofilia w kościele	ten brutalny atak wychodzić z strona człowiek który często przecież właśnie wspierać pedofilia z strona człowiek który często bronić pedofilia z strona człowiek który po dzienia dzisiejszy często wspierać najbardziej brutalny najbardziej niedopuszczalny propaganda pedofilia
Antoni Macierewicz	PiS	21 czerwca 2020	LGBT i pedofilia	nie przypadek on podpisać i star się upowszechnić karta LGBT nie wiedzieć jak się to nazywać LBGT czas mylić te literek ale mama nadzieja że nie mat państwo o to pretensja i wiedzieć mało dużo w czym rzecz a on wiedzieć świetnie o co chodzić bo mój przecież swoje zastępca który być zaangażować w ten formacja i w ten kierunek działanie trzeba siebie tu jasno powiedzieć to być wielki reklama i promocja pedofilia
Lech Wałęsa		2013	LGBT	ja siebie nie życzyć żeby ta mniejszość z który się nie zgadzać wychodzić na ulica i moja dziecko i wnuka bałamucić jakiś tam mniejszość on musza wiedzieć że być mniejszość i musza się do mniejszy rzecz przystosować a nie wchodzić na duży szczyt na duży godzina duży prowokacja żeby psuć ten inny albo wybierać z ten większość nie zgadzać się z tym i nigdy się nie zgodzić
Jarosław Kaczyński	PiS	2006	przemówienie na wiecu poparcia w Stoczni Gdańskiej	ja szanowny państwo spędzić być w tym miejsce kilka tydzień swoje życie może ważny tydzień swoje życie i pamiętać kto być wtedy po który strona my być tu gdzie wtedy on tam gdzie stać ZOMO
Janusz Palikot	Ruch Palikota (chyba)	11 stycznia 2009	o rzekomym homoseksualizmie Jarosława Kaczyńskiego.	czy Jarosław być Jarosława czy Jarosław Kaczyński być kobieta – jak zasugerować kilka dzień temu Nelly rokita sugestia bardzo zaskakujący trzeba przyznać jak na posłanka PiS i jak na odniesienie on wprost do lider formacja narodowo katolicki z druga strona czy nie nazbyt wiele za tym przemawiać wśród bliźniak jednojajowy często jedno z on być homoseksualista tak przynajmniej twierdza medyk Jarosław w przeciwieństwo do Lech nie mój żona dziecko z kobieta trudno go spotkać a mieszek z mama i kot to jeszcze nic nie oznaczać ale – jeśli zgodnie z życzenie on brat dziś trzeba być „ bardziej tough niż soft ” – to chyba można by oczekiwać nieco wyraźny informacja na temat stosunek były premier do kobieta i szeroko – o źródło on angażować się w związek z kobieta
Janusz Palikot	Ruch Palikota	8 lipca 2013	O demokracji i spisie faszystów	demokracja zawsze przegrywać dlatego proponować powszechny spis faszysta twarz po twarz tak jak on to robić nazwisko po nazwisko i do powszechny wiadomości
Janusz Palikot	Ruch Palikota	1 maja 2012	O kapitaliźmie, wolnym rynku pracy	dziś już wiedzieć że wolny rynek i wszyscy on kapłan – z arcybiskup Tusk biskup polowy Pawlak i papież kapitalizm polityczny Kaczyńska – nie dać rad daleko wmawiać my że wolny rynek stworzyć miejsce praca
Zbigniew Ziobro	PiS	19 sierpnia 2016	Ziobro o ówczesnym prezesie Trybunału Konstytucyjnego	but krocz przed upadek i o tym chyba zapominać pan prezes Rzepliński który rościć siebie prawo żeby mówić który orzeczenie być dobre a który złe który on pasować który nie pasować zanim jeszcze dojść do rozstrzygnięcie sprawa przez trybunał konstytucyjny tak samo rościć siebie uprawnienie by mówić kiedy prokurator może prowadzić śledztwo a kiedy nie i za prokurator decydować i z góra rozstrzygać co być słuszny a co nie być słuszny
Zbigniew Ziobro	PiS	12 stycznia 2017	O kompetencji TK	każdy student prawa wiedzieć że trybunał nie być kompetentny by orzekać w sprawa uchwała
Beata Szydło	PiS	3 czerwca 2017	O programie Rodzina 500+	dać być polski rodzina szczęście i myśleć że nikt im już to nie odebrać nikt nie być wstać to zakwestionować ci który chcieć zlikwidować ten program powinny pojechać do człowiek porozmawiać z on jak to wyglądać to być program potrzebny nie tylko mój wymiar finansowy ale zacząć się rodzić coraz dużo dziecko
